name	lat	lon	address	website	boulder	toprope	lead	autobelay	moonboard	kilter	tension
BFF Climb Bukit Timah	1.3367899887839494	103.783680668481	896 Dunearn Rd, #02-01D, Singapore 589472	https://bffclimb.com/	true	false	false	true	false	true	false
BFF Climb Bendemeer	1.312274886688066	103.86319723782933	2 Kallang Ave, #01-20 CT hub, Singapore 339407	http://bffclimb.com/	true	false	false	true	true	false	false
Boulder Planet	1.4420156292230535	103.82506785381011	604 Sembawang Rd, #B1-22/23 Sembawang Shopping Centre, Singapore 758459	https://www.boulderplanet.sg/	true	false	false	false	false	false	false
Origin Boulder	1.2834695234197224	103.84689314744284	18 Cross Street Cross Street Exchange B1-117 & B1-118, Singapore 048423	http://www.originboulder.sg/	true	false	false	false	false	false	false
boruda Climbing	1.2741266562174378	103.80365366010432	991A Alexandra Rd, Singapore 119969	http://boruda.sg/	true	false	false	false	false	false	false
b8A	1.343412358289865	103.94154989763433	03-06, 6 Tampines Street 92, yo:HA Commercial @ Tampines, Singapore 528893	http://www.b8a.sg/	true	false	false	false	false	false	false
boulder+ Aperia	1.3099093509340745	103.86418826818968	12 Kallang Ave, #03-17 The Aperia Mall, Singapore 339511	http://www.boulderplusclimbing.com/	true	false	false	false	false	false	false
boulder+ Chevrons	1.331039974403834	103.74829513707856	48 Boon Lay Way, #04-01 The Chevrons, Singapore 609961	http://www.boulderplusclimbing.com/	true	false	false	false	false	true	false
Z-Vertigo Boulder Gym	1.34313167188941	103.77607864051343	170 Upper Bukit Timah Rd, B2-20B, Singapore 588179	https://zvertigobouldergym.wixsite.com/zvert	true	false	false	false	false	false	false

